note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
3,1.0,1.0,1.0,17,3,1.0,1.0,1.0,17,3,0.5,1.0,3.0,17,3,0.25,1.0,4.0,17,1_minor,5_minor,4_minor,6_major
3,1.0,1.0,1.0,17,3,0.5,1.0,3.0,17,3,0.25,1.0,4.0,17,2,1.0,1.0,1.0,18,5_minor,4_minor,6_major,1_minor
6,1.0,1.0,1.0,5,5,0.25,1.0,2.0,5,4,0.5,1.0,3.0,5,3,0.25,1.0,4.0,5,1_major,4_major,1_major,4_major
5,0.25,1.0,2.0,5,4,0.5,1.0,3.0,5,3,0.25,1.0,4.0,5,2,1.0,1.0,1.0,6,4_major,1_major,4_major,1_major
1,1.0,2.0,1.0,3,2,0.5,1.0,3.0,3,3,0.25,1.0,4.0,3,1,1.0,2.0,1.0,4,1_major,4_major,5_major,1_major
2,0.5,1.0,3.0,3,3,0.25,1.0,4.0,3,1,1.0,2.0,1.0,4,7,0.5,0.5,3.0,4,4_major,5_major,1_major,4_major
3,0.5,2.0,3.0,10,5,1.0,1.0,1.0,11,5,0.25,1.0,2.0,11,4,0.5,2.0,3.0,11,7_major,4_major,6_minor,7_major
5,1.0,1.0,1.0,11,5,0.25,1.0,2.0,11,4,0.5,2.0,3.0,11,3,1.0,1.0,1.0,13,4_major,6_minor,7_major,4_major
3,0.5,1.0,2.0,32,3,0.5,1.0,2.0,32,2,1.0,1.0,1.0,33,2,1.0,1.0,1.0,33,6_minor,4_major,1_major,6_minor
3,0.5,1.0,2.0,32,2,1.0,1.0,1.0,33,2,1.0,1.0,1.0,33,3,0.5,1.0,3.0,33,4_major,1_major,6_minor,4_major
